Combination,Timeframe,Rank,60,120,180,365,730,Score,Trades,Coverage,Win Rate,Avg Return,Median Return,Overall Rank
VWAP_Distance + Previous_Day_Return + Gap,60 Min,20,0.233,0.212,0.134,0.089,0.031,0.185,38,3.33,63.16,0.233,0.13,1
VWAP_Distance + Previous_Day_Return + Gap,60 Min,24,0.334,0.094,0.051,0.03,-0.016,0.16,38,3.33,60.53,0.334,0.227,2
VWAP_Distance + Previous_Day_Return + Gap,60 Min,10,0.165,0.152,0.093,0.006,-0.074,0.123,38,3.33,60.53,0.165,0.071,3
VWAP_Distance + Previous_Day_Return + Gap,30 Min,24,0.229,0.044,0.009,0.019,-0.006,0.098,38,3.33,65.79,0.229,0.086,4
VWAP_Distance + Previous_Day_Return + Gap,30 Min,7,0.169,0.082,0.056,0.019,-0.012,0.098,38,3.33,60.53,0.169,0.064,5
VWAP_Distance + Previous_Day_Return + Gap,60 Min,19,0.175,0.049,0.039,-0.0,-0.02,0.084,38,3.33,47.37,0.175,-0.085,6
VWAP_Distance + Previous_Day_Return + Gap,60 Min,1,0.122,0.055,0.107,0.023,-0.016,0.084,38,3.33,50.0,0.122,0.009,7
VWAP_Distance + Previous_Day_Return + Gap,15 Min,7,0.164,0.065,0.028,-0.009,-0.019,0.081,38,3.33,50.0,0.164,-0.002,8
VWAP_Distance + Previous_Day_Return + Gap,15 Min,20,0.078,0.102,0.076,0.036,0.018,0.078,38,3.33,57.89,0.078,0.047,9
VWAP_Distance + Previous_Day_Return + Gap,60 Min,15,0.178,0.023,0.016,-0.009,-0.027,0.071,38,3.33,63.16,0.178,0.215,10
VWAP_Distance + Previous_Day_Return + Gap,60 Min,13,0.224,-0.015,-0.006,-0.013,-0.029,0.071,38,3.33,52.63,0.224,0.018,11
VWAP_Distance + Previous_Day_Return + Gap,30 Min,20,0.067,0.097,0.059,0.039,0.008,0.07,38,3.33,47.37,0.067,-0.049,12
VWAP_Distance + Previous_Day_Return + Gap,30 Min,10,0.116,0.018,0.005,-0.025,-0.071,0.043,38,3.33,50.0,0.123,0.005,13
VWAP_Distance + Previous_Day_Return + Gap,30 Min,13,0.143,-0.019,-0.008,-0.027,-0.029,0.039,38,3.33,57.89,0.152,0.057,14
VWAP_Distance + Previous_Day_Return + Gap,60 Min,26,0.12,-0.028,0.003,0.023,-0.006,0.038,38,3.33,52.63,0.129,0.011,15
VWAP_Distance + Previous_Day_Return + Gap,60 Min,3,0.098,0.031,-0.009,-0.04,-0.02,0.036,38,3.33,60.53,0.114,0.074,16
VWAP_Distance + Previous_Day_Return + Gap,15 Min,19,0.08,0.017,0.006,0.002,0.003,0.035,38,3.33,42.11,0.08,-0.032,17
VWAP_Distance + Previous_Day_Return + Gap,15 Min,12,0.025,0.056,0.045,-0.024,-0.029,0.031,38,3.33,42.11,0.025,-0.088,18
VWAP_Distance + Previous_Day_Return + Gap,60 Min,8,0.135,-0.029,-0.046,-0.014,-0.02,0.027,38,3.33,63.16,0.135,0.126,19
VWAP_Distance + Previous_Day_Return + Gap,30 Min,1,0.048,0.019,0.024,-0.01,-0.017,0.026,38,3.33,63.16,0.048,0.149,20
VWAP_Distance + Previous_Day_Return + Gap,15 Min,24,0.065,0.019,-0.007,-0.019,-0.022,0.024,38,3.33,55.26,0.065,0.038,21
VWAP_Distance + Previous_Day_Return + Gap,60 Min,23,0.008,-0.011,0.099,0.022,0.019,0.023,38,3.33,36.84,0.008,-0.21,22
VWAP_Distance + Previous_Day_Return + Gap,60 Min,7,0.103,-0.018,-0.039,-0.012,-0.027,0.021,38,3.33,50.0,0.103,0.01,23
VWAP_Distance + Previous_Day_Return + Gap,15 Min,10,0.059,0.021,-0.007,-0.041,-0.045,0.019,38,3.33,50.0,0.059,-0.008,24
VWAP_Distance + Previous_Day_Return + Gap,60 Min,17,0.1,-0.03,-0.027,-0.018,-0.045,0.018,38,3.33,65.79,0.1,0.097,25
VWAP_Distance + Previous_Day_Return + Gap,60 Min,18,0.021,0.044,-0.006,-0.02,-0.011,0.016,38,3.33,55.26,0.021,0.047,26
VWAP_Distance + Previous_Day_Return + Gap,15 Min,29,0.019,0.02,0.003,0.005,0.002,0.014,38,3.33,55.26,0.027,0.042,27
